,,, pm25, pm25, pm25
,,,min,max,mean
date,date,City,,,
2016,12,Juwol-Dong,36.0,161.0,79.96774193548387
2016,12,Nowon-Gu,42.0,148.0,87.93548387096774
2016,12,Pado-Ri,,,
2016,12,Seolseong-Myeon,,,
2017,1,Bangsan-Myeon,,,
2017,1,Geumchon-Dong,56.0,161.0,99.3225806451613
2017,1,Gwanak-Gu,46.0,158.0,95.58064516129032
2017,1,Jeongnim-Dong,26.0,150.0,66.06451612903226
2017,1,Jungang-Way,48.0,172.0,104.06451612903226
2017,1,Juwol-Dong,36.0,169.0,86.06666666666666
2017,1,Nowon-Gu,33.0,164.0,91.58064516129032
2017,1,Pado-Ri,,,
2017,1,Seolseong-Myeon,,,
2017,2,Bangsan-Myeon,,,
2017,2,Geumchon-Dong,65.0,158.0,91.0
2017,2,Gwanak-Gu,54.0,163.0,86.46428571428571
2017,2,Jeongnim-Dong,35.0,147.0,65.07142857142857
2017,2,Jungang-Way,53.0,168.0,95.07142857142857
2017,2,Juwol-Dong,37.0,120.0,72.82142857142857
2017,2,Nowon-Gu,45.0,159.0,82.71428571428571
2017,2,Pado-Ri,,,
2017,2,Seolseong-Myeon,,,
2017,3,Bangsan-Myeon,,,
2017,3,Geumchon-Dong,66.0,159.0,110.61290322580645
2017,3,Gwanak-Gu,64.0,160.0,109.83870967741936
2017,3,Jeongnim-Dong,42.0,111.0,79.09677419354838
2017,3,Jungang-Way,62.0,152.0,101.80645161290323
2017,3,Juwol-Dong,52.0,130.0,93.19354838709677
2017,3,Nowon-Gu,64.0,152.0,103.48387096774194
2017,3,Pado-Ri,,,
2017,3,Seolseong-Myeon,,,
2017,4,Bangsan-Myeon,,,
2017,4,Geumchon-Dong,43.0,153.0,85.76666666666667
2017,4,Gwanak-Gu,49.0,142.0,82.46666666666667
2017,4,Jeongnim-Dong,40.0,105.0,63.5
2017,4,Jungang-Way,45.0,127.0,77.13333333333334
2017,4,Juwol-Dong,39.0,124.0,74.03333333333333
2017,4,Nowon-Gu,51.0,136.0,80.46666666666667
2017,4,Pado-Ri,,,
2017,4,Seolseong-Myeon,,,
2017,5,Bangsan-Myeon,,,
2017,5,Geumchon-Dong,25.0,145.0,79.61290322580645
2017,5,Gwanak-Gu,38.0,140.0,83.56666666666666
2017,5,Jeongnim-Dong,28.0,95.0,61.25806451612903
2017,5,Jungang-Way,20.0,149.0,83.16129032258064
2017,5,Juwol-Dong,28.0,154.0,71.2258064516129
2017,5,Nowon-Gu,31.0,125.0,77.35483870967742
2017,5,Pado-Ri,,,
2017,5,Seolseong-Myeon,,,
2017,6,Bangsan-Myeon,,,
2017,6,Geumchon-Dong,30.0,120.0,74.26666666666667
