,,, co, co, co
,,,min,max,mean
date,date,City,,,
2016,9,Bangsan-Myeon,2.0,4.0,3.0
2016,9,Geumchon-Dong,3.0,10.0,7.066666666666666
2016,9,Gwanak-Gu,2.0,7.0,5.166666666666667
2016,9,Jeongnim-Dong,3.0,6.0,4.733333333333333
2016,9,Jungang-Way,3.0,6.0,4.0
2016,9,Juwol-Dong,3.0,6.0,4.433333333333334
2016,9,Nowon-Gu,3.0,6.0,4.689655172413793
2016,9,Pado-Ri,1.0,5.0,3.3461538461538463
2016,9,Seolseong-Myeon,1.0,8.0,3.4827586206896552
2016,10,Bangsan-Myeon,2.0,6.0,3.392857142857143
2016,10,Geumchon-Dong,3.0,11.0,6.612903225806452
2016,10,Gwanak-Gu,3.0,11.0,5.67741935483871
2016,10,Jeongnim-Dong,2.0,7.0,4.516129032258065
2016,10,Jungang-Way,3.0,8.0,6.064516129032258
2016,10,Juwol-Dong,2.0,8.0,5.32258064516129
2016,10,Nowon-Gu,3.0,8.0,4.444444444444445
2016,10,Pado-Ri,1.0,7.0,3.6129032258064515
2016,10,Seolseong-Myeon,1.0,8.0,4.172413793103448
2016,11,Bangsan-Myeon,3.0,7.0,4.6
2016,11,Geumchon-Dong,6.0,11.0,8.266666666666667
2016,11,Gwanak-Gu,4.0,13.0,7.066666666666666
2016,11,Jeongnim-Dong,3.0,11.0,5.9
2016,11,Jungang-Way,5.0,15.0,9.892857142857142
2016,11,Juwol-Dong,4.0,13.0,7.3
2016,11,Nowon-Gu,4.0,10.0,6.25
2016,11,Pado-Ri,2.0,7.0,3.9285714285714284
2016,11,Seolseong-Myeon,2.0,9.0,5.233333333333333
2016,12,Bangsan-Myeon,2.0,8.0,4.67741935483871
2016,12,Geumchon-Dong,5.0,13.0,9.67741935483871
2016,12,Gwanak-Gu,5.0,13.0,8.387096774193548
2016,12,Jeongnim-Dong,3.0,11.0,6.419354838709677
2016,12,Jungang-Way,4.0,17.0,9.548387096774194
2016,12,Juwol-Dong,3.0,15.0,7.612903225806452
2016,12,Nowon-Gu,1.0,14.0,7.580645161290323
2016,12,Pado-Ri,2.0,9.0,4.129032258064516
2016,12,Seolseong-Myeon,3.0,9.0,5.645161290322581
2017,1,Bangsan-Myeon,2.0,8.0,4.548387096774194
2017,1,Geumchon-Dong,6.0,17.0,9.483870967741936
2017,1,Gwanak-Gu,4.0,14.0,7.645161290322581
2017,1,Jeongnim-Dong,3.0,11.0,5.612903225806452
2017,1,Jungang-Way,3.0,16.0,8.709677419354838
2017,1,Juwol-Dong,3.0,11.0,6.32258064516129
2017,1,Nowon-Gu,4.0,15.0,8.483870967741936
2017,1,Pado-Ri,2.0,8.0,4.896551724137931
2017,1,Seolseong-Myeon,2.0,9.0,5.0
2017,2,Bangsan-Myeon,2.0,8.0,4.518518518518518
2017,2,Geumchon-Dong,5.0,13.0,8.535714285714286
2017,2,Gwanak-Gu,4.0,14.0,7.25
2017,2,Jeongnim-Dong,2.0,10.0,4.892857142857143
2017,2,Jungang-Way,3.0,15.0,8.035714285714286
2017,2,Juwol-Dong,2.0,8.0,5.0
2017,2,Nowon-Gu,4.0,14.0,7.857142857142857
2017,2,Pado-Ri,2.0,8.0,3.7037037037037037
2017,2,Seolseong-Myeon,2.0,8.0,4.357142857142857
2017,3,Bangsan-Myeon,2.0,6.0,4.1
2017,3,Geumchon-Dong,5.0,13.0,8.096774193548388
2017,3,Gwanak-Gu,4.0,12.0,7.129032258064516
2017,3,Jeongnim-Dong,3.0,6.0,4.161290322580645
2017,3,Jungang-Way,3.0,7.0,4.903225806451613
2017,3,Juwol-Dong,4.0,8.0,5.451612903225806
2017,3,Nowon-Gu,5.0,10.0,7.233333333333333
2017,3,Pado-Ri,2.0,8.0,4.068965517241379
2017,3,Seolseong-Myeon,2.0,6.0,4.258064516129032
2017,4,Bangsan-Myeon,1.0,5.0,3.2413793103448274
2017,4,Geumchon-Dong,3.0,9.0,6.6
2017,4,Gwanak-Gu,3.0,7.0,5.266666666666667
2017,4,Jeongnim-Dong,2.0,6.0,4.033333333333333
2017,4,Jungang-Way,1.0,5.0,2.8
2017,4,Juwol-Dong,3.0,6.0,4.333333333333333
2017,4,Nowon-Gu,3.0,8.0,5.733333333333333
2017,4,Pado-Ri,2.0,7.0,3.857142857142857
2017,4,Seolseong-Myeon,1.0,6.0,4.233333333333333
2017,5,Bangsan-Myeon,1.0,6.0,3.1785714285714284
2017,5,Geumchon-Dong,4.0,9.0,6.064516129032258
2017,5,Gwanak-Gu,2.0,7.0,4.096774193548387
2017,5,Jeongnim-Dong,3.0,5.0,3.6333333333333333
2017,5,Jungang-Way,1.0,6.0,3.066666666666667
2017,5,Juwol-Dong,1.0,6.0,3.3333333333333335
2017,5,Nowon-Gu,3.0,8.0,4.709677419354839
2017,5,Pado-Ri,1.0,5.0,2.7037037037037037
