,,, no2, no2, no2
,,,min,max,mean
date,date,City,,,
2016,8,Jungang-Way,5.0,16.0,8.0
2016,8,Juwol-Dong,10.0,27.0,16.322580645161292
2016,8,Nowon-Gu,6.0,29.0,16.258064516129032
2016,8,Pado-Ri,4.0,13.0,8.161290322580646
2016,8,Seolseong-Myeon,3.0,10.0,6.032258064516129
2016,9,Bangsan-Myeon,1.0,6.0,1.8
2016,9,Geumchon-Dong,9.0,29.0,17.8
2016,9,Gwanak-Gu,11.0,49.0,30.766666666666666
2016,9,Jeongnim-Dong,8.0,20.0,13.533333333333333
2016,9,Jungang-Way,4.0,15.0,9.1
2016,9,Juwol-Dong,8.0,30.0,18.533333333333335
2016,9,Nowon-Gu,7.0,34.0,22.2
2016,9,Pado-Ri,4.0,13.0,7.233333333333333
2016,9,Seolseong-Myeon,2.0,15.0,8.333333333333334
2016,10,Bangsan-Myeon,1.0,5.0,2.225806451612903
2016,10,Geumchon-Dong,8.0,30.0,19.322580645161292
2016,10,Gwanak-Gu,12.0,59.0,33.354838709677416
2016,10,Jeongnim-Dong,7.0,29.0,16.70967741935484
2016,10,Jungang-Way,7.0,29.0,17.096774193548388
2016,10,Juwol-Dong,8.0,38.0,23.387096774193548
2016,10,Nowon-Gu,8.0,27.0,18.523809523809526
2016,10,Pado-Ri,2.0,24.0,8.838709677419354
2016,10,Seolseong-Myeon,5.0,21.0,11.548387096774194
2016,11,Bangsan-Myeon,2.0,9.0,4.433333333333334
2016,11,Geumchon-Dong,13.0,38.0,27.133333333333333
2016,11,Gwanak-Gu,19.0,72.0,38.93333333333333
2016,11,Jeongnim-Dong,11.0,39.0,23.933333333333334
2016,11,Jungang-Way,13.0,37.0,26.642857142857142
2016,11,Juwol-Dong,13.0,49.0,29.233333333333334
2016,11,Nowon-Gu,11.0,49.0,30.0
2016,11,Pado-Ri,1.0,28.0,8.344827586206897
2016,11,Seolseong-Myeon,7.0,27.0,17.5
2016,12,Bangsan-Myeon,2.0,10.0,4.67741935483871
2016,12,Geumchon-Dong,16.0,46.0,29.193548387096776
2016,12,Gwanak-Gu,20.0,71.0,44.064516129032256
2016,12,Jeongnim-Dong,13.0,39.0,24.774193548387096
2016,12,Jungang-Way,7.0,33.0,21.516129032258064
2016,12,Juwol-Dong,11.0,65.0,32.45161290322581
2016,12,Nowon-Gu,13.0,58.0,32.645161290322584
2016,12,Pado-Ri,2.0,32.0,9.193548387096774
2016,12,Seolseong-Myeon,8.0,28.0,18.322580645161292
2017,1,Bangsan-Myeon,2.0,10.0,4.451612903225806
2017,1,Geumchon-Dong,13.0,44.0,26.838709677419356
