,,, so2, so2, so2
,,,min,max,mean
date,date,City,,,
2016,3,Pado-Ri,1.0,7.0,3.066666666666667
2016,3,Seolseong-Myeon,1.0,8.0,3.0
2016,4,Bangsan-Myeon,1.0,5.0,2.3333333333333335
2016,4,Geumchon-Dong,1.0,10.0,4.6
2016,4,Gwanak-Gu,4.0,12.0,7.333333333333333
2016,4,Jeongnim-Dong,1.0,4.0,2.7
2016,4,Jungang-Way,3.0,7.0,4.103448275862069
2016,4,Juwol-Dong,2.0,7.0,3.6551724137931036
2016,4,Nowon-Gu,7.0,12.0,8.466666666666667
2016,4,Pado-Ri,1.0,7.0,2.8333333333333335
2016,4,Seolseong-Myeon,1.0,5.0,2.4642857142857144
2016,5,Bangsan-Myeon,1.0,2.0,1.6363636363636365
2016,5,Geumchon-Dong,2.0,8.0,4.387096774193548
2016,5,Gwanak-Gu,4.0,12.0,7.1
2016,5,Jeongnim-Dong,1.0,4.0,2.6
2016,5,Jungang-Way,1.0,5.0,2.5925925925925926
2016,5,Juwol-Dong,1.0,7.0,3.8666666666666667
2016,5,Nowon-Gu,7.0,11.0,8.03225806451613
2016,5,Pado-Ri,1.0,8.0,3.6333333333333333
2016,5,Seolseong-Myeon,1.0,5.0,2.230769230769231
2016,6,Bangsan-Myeon,1.0,2.0,1.6666666666666667
2016,6,Geumchon-Dong,2.0,9.0,4.0
2016,6,Gwanak-Gu,5.0,10.0,6.666666666666667
2016,6,Jeongnim-Dong,1.0,3.0,2.037037037037037
2016,6,Jungang-Way,1.0,5.0,2.869565217391304
2016,6,Juwol-Dong,2.0,11.0,4.083333333333333
2016,6,Nowon-Gu,7.0,10.0,7.933333333333334
2016,6,Pado-Ri,1.0,6.0,2.4814814814814814
2016,6,Seolseong-Myeon,1.0,4.0,2.111111111111111
2016,7,Bangsan-Myeon,1.0,1.0,1.0
2016,7,Geumchon-Dong,1.0,7.0,3.5714285714285716
2016,7,Gwanak-Gu,5.0,11.0,7.0344827586206895
2016,7,Jeongnim-Dong,1.0,3.0,2.076923076923077
2016,7,Jungang-Way,2.0,5.0,3.0
2016,7,Juwol-Dong,2.0,11.0,6.0
2016,7,Nowon-Gu,7.0,10.0,7.838709677419355
2016,7,Pado-Ri,1.0,6.0,2.782608695652174
2016,7,Seolseong-Myeon,1.0,1.0,1.0
2016,8,Bangsan-Myeon,2.0,2.0,2.0
2016,8,Geumchon-Dong,1.0,8.0,4.391304347826087
2016,8,Gwanak-Gu,5.0,13.0,8.166666666666666
2016,8,Jeongnim-Dong,1.0,4.0,2.5172413793103448
2016,8,Jungang-Way,3.0,3.0,3.0
2016,8,Juwol-Dong,2.0,7.0,4.391304347826087
2016,8,Nowon-Gu,7.0,9.0,7.741935483870968
2016,8,Pado-Ri,1.0,7.0,3.3666666666666667
2016,8,Seolseong-Myeon,1.0,2.0,1.125
2016,9,Bangsan-Myeon,,,
2016,9,Geumchon-Dong,1.0,5.0,3.107142857142857
2016,9,Gwanak-Gu,6.0,24.0,9.846153846153847
2016,9,Jeongnim-Dong,1.0,3.0,2.0
2016,9,Jungang-Way,3.0,5.0,3.3125
2016,9,Juwol-Dong,1.0,4.0,2.7142857142857144
2016,9,Nowon-Gu,7.0,9.0,7.8
2016,9,Pado-Ri,1.0,6.0,3.066666666666667
2016,9,Seolseong-Myeon,1.0,2.0,1.25
2016,10,Bangsan-Myeon,2.0,2.0,2.0
2016,10,Geumchon-Dong,2.0,5.0,3.413793103448276
2016,10,Gwanak-Gu,7.0,11.0,8.709677419354838
2016,10,Jeongnim-Dong,1.0,4.0,2.4193548387096775
2016,10,Jungang-Way,4.0,7.0,4.857142857142857
2016,10,Juwol-Dong,3.0,7.0,3.92
2016,10,Nowon-Gu,3.0,9.0,5.809523809523809
2016,10,Pado-Ri,1.0,9.0,3.6333333333333333
2016,10,Seolseong-Myeon,1.0,4.0,1.9
2016,11,Bangsan-Myeon,1.0,3.0,1.9545454545454546
2016,11,Geumchon-Dong,3.0,9.0,5.833333333333333
2016,11,Gwanak-Gu,8.0,13.0,10.466666666666667
2016,11,Jeongnim-Dong,1.0,5.0,3.4
2016,11,Jungang-Way,3.0,8.0,5.535714285714286
2016,11,Juwol-Dong,2.0,8.0,4.068965517241379
2016,11,Nowon-Gu,4.0,9.0,6.37037037037037
2016,11,Pado-Ri,1.0,10.0,3.9310344827586206
2016,11,Seolseong-Myeon,1.0,4.0,1.92
2016,12,Bangsan-Myeon,1.0,3.0,1.875
2016,12,Geumchon-Dong,4.0,11.0,7.032258064516129
2016,12,Gwanak-Gu,6.0,12.0,8.32258064516129
2016,12,Jeongnim-Dong,2.0,5.0,3.774193548387097
2016,12,Jungang-Way,4.0,10.0,6.290322580645161
2016,12,Juwol-Dong,2.0,7.0,4.068965517241379
2016,12,Nowon-Gu,5.0,11.0,7.6923076923076925
2016,12,Pado-Ri,1.0,10.0,3.4516129032258065
2016,12,Seolseong-Myeon,1.0,4.0,2.129032258064516
2017,1,Bangsan-Myeon,2.0,6.0,2.6785714285714284
2017,1,Geumchon-Dong,5.0,12.0,7.903225806451613
2017,1,Gwanak-Gu,6.0,15.0,9.451612903225806
2017,1,Jeongnim-Dong,2.0,6.0,3.5483870967741935
2017,1,Jungang-Way,4.0,10.0,6.258064516129032
2017,1,Juwol-Dong,3.0,8.0,4.193548387096774
2017,1,Nowon-Gu,3.0,11.0,6.354838709677419
2017,1,Pado-Ri,2.0,11.0,4.225806451612903
2017,1,Seolseong-Myeon,1.0,4.0,1.903225806451613
2017,2,Bangsan-Myeon,1.0,4.0,2.357142857142857
2017,2,Geumchon-Dong,5.0,12.0,7.821428571428571
2017,2,Gwanak-Gu,6.0,14.0,9.5
2017,2,Jeongnim-Dong,2.0,7.0,3.5714285714285716
2017,2,Jungang-Way,4.0,10.0,6.5
2017,2,Juwol-Dong,3.0,6.0,4.25
2017,2,Nowon-Gu,4.0,11.0,6.074074074074074
2017,2,Pado-Ri,2.0,6.0,3.357142857142857
2017,2,Seolseong-Myeon,1.0,4.0,2.4074074074074074
2017,3,Bangsan-Myeon,1.0,3.0,2.1379310344827585
2017,3,Geumchon-Dong,4.0,10.0,7.064516129032258
2017,3,Gwanak-Gu,2.0,11.0,6.129032258064516
2017,3,Jeongnim-Dong,2.0,6.0,3.7096774193548385
2017,3,Jungang-Way,3.0,8.0,5.193548387096774
2017,3,Juwol-Dong,2.0,7.0,4.225806451612903
2017,3,Nowon-Gu,3.0,12.0,6.032258064516129
2017,3,Pado-Ri,1.0,10.0,3.966666666666667
2017,3,Seolseong-Myeon,1.0,5.0,2.6
2017,4,Bangsan-Myeon,1.0,4.0,2.45
2017,4,Geumchon-Dong,3.0,8.0,4.866666666666666
2017,4,Gwanak-Gu,3.0,10.0,6.033333333333333
2017,4,Jeongnim-Dong,1.0,6.0,2.586206896551724
2017,4,Jungang-Way,3.0,8.0,4.333333333333333
2017,4,Juwol-Dong,3.0,7.0,3.9655172413793105
2017,4,Nowon-Gu,3.0,11.0,5.166666666666667
2017,4,Pado-Ri,2.0,6.0,3.2
2017,4,Seolseong-Myeon,1.0,6.0,2.7857142857142856
2017,5,Bangsan-Myeon,1.0,5.0,2.05
2017,5,Geumchon-Dong,3.0,7.0,4.862068965517241
2017,5,Gwanak-Gu,3.0,11.0,6.806451612903226
2017,5,Jeongnim-Dong,1.0,4.0,2.4
